artist,track,id,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration
Taylor Swift,This Love (Taylor’s Version),4WBEj8TeGtRPNJdOmT3WJW,0.47,0.494,-8.672,0.302,0.0,0.0672,0.0524,144.039,250100
Taylor Swift,I Know Places (Taylor's Version),1ULabO0PEsdJekqVH6G10G,0.572,0.807,-5.348,0.0846,0.0,0.071,0.626,160.015,195700
Taylor Swift,Clean (Taylor's Version),0lKUBmEyQfzsQHozyeXzES,0.782,0.379,-8.964,0.297,2.98e-05,0.103,0.267,103.99,271000
Taylor Swift,Wonderland (Taylor's Version),6HRsJu8vcnzYDN4t0570FY,0.387,0.703,-5.956,0.0105,1.1e-05,0.128,0.32,123.18,245567
Taylor Swift,You Are In Love (Taylor's Version),0TyGh27YQ5LknmiDhCzJiT,0.554,0.509,-9.403,0.572,2.08e-06,0.113,0.401,85.079,267389
Taylor Swift,New Romantics (Taylor's Version),5M787RexsAiVYjQusM98CV,0.653,0.848,-5.936,0.00516,4.24e-06,0.0798,0.724,122.017,230178
Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",0CD7DzeCsuPJygddqlUVYa,0.621,0.415,-13.187,0.33,0.000112,0.0634,0.313,77.978,180381
Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),3CCRVu4F91Qp2mnGjmWBrf,0.632,0.539,-8.375,0.0684,5.82e-06,0.132,0.186,109.962,279833
Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),5QUIK7ZtziW8kGWo8RqopF,0.8,0.509,-9.386,0.16,3.05e-05,0.0834,0.0768,109.994,146437
Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),6M9ppdfFjR1AbpUl3Y8DcV,0.695,0.607,-8.84,0.212,0.0,0.102,0.394,118.043,171819
Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),6IG3sQ8s9nfk6TUlVzRhbN,0.599,0.651,-7.343,0.0486,0.0,0.126,0.153,100.001,229478
Taylor Swift,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),6qAcApH8obo8eqatCKUHd9,0.604,0.644,-6.931,0.0143,0.0,0.237,0.197,170.088,199773
Taylor Swift,Welcome To New York (Taylor's Version),1hR8BSuEqPCCZfv93zzzz9,0.76,0.602,-4.871,0.00661,0.000133,0.325,0.685,116.989,212600
Taylor Swift,Blank Space (Taylor's Version),45wMBGri1PORPjM9PwFfrS,0.732,0.719,-5.469,0.0901,0.0,0.331,0.71,96.035,231833
Taylor Swift,Style (Taylor's Version),1hjRhYpWyqDpPahmSlUTlc,0.514,0.821,-4.803,0.000456,0.0232,0.0946,0.298,94.884,231000
Taylor Swift,Out Of The Woods (Taylor's Version),045ZeOHPIzhxxsm8bq5kyE,0.544,0.884,-5.973,0.000466,0.000134,0.381,0.184,91.981,235800
Taylor Swift,All You Had To Do Was Stay (Taylor's Version),6GXgd1BPD9bUpqw5AntGV5,0.589,0.713,-5.614,0.000778,0.0,0.188,0.54,97.069,193289
Taylor Swift,Shake It Off (Taylor's Version),3pv7Q5v2dpdefwdWIvE7yH,0.632,0.805,-5.707,0.0112,2.51e-05,0.156,0.903,160.052,219209
Taylor Swift,I Wish You Would (Taylor's Version),43y1WpBdnEy5TR9aZoSQL9,0.671,0.853,-6.568,0.00388,9.48e-06,0.0812,0.523,118.032,207650
Taylor Swift,Bad Blood (Taylor's Version),64FzgoLZ3oXu2SriZblHic,0.624,0.711,-6.347,0.0369,3.13e-06,0.19,0.347,169.999,211104
Taylor Swift,Wildest Dreams (Taylor's Version),1K39ty6o1sHwwlZwO6a7wK,0.587,0.663,-7.439,0.0348,9.95e-05,0.0971,0.539,139.993,220433
Taylor Swift,How You Get The Girl (Taylor's Version),75W3SngKzTuoQ94uLf3y82,0.761,0.67,-5.956,0.00198,1.08e-05,0.0873,0.519,120.014,247533
Taylor Swift,This Love (Taylor’s Version),5QVVjX0ZItqlVpEuVCM9Yg,0.47,0.494,-8.672,0.302,0.0,0.0672,0.0524,144.039,250100
Taylor Swift,I Know Places (Taylor's Version),2f0GI2ZLUtbGqFx8t2Gk6A,0.572,0.807,-5.348,0.0846,0.0,0.071,0.626,160.015,195700
Taylor Swift,Clean (Taylor's Version),2ByBBvpR9b7IynvRmnG7kG,0.782,0.379,-8.964,0.297,2.98e-05,0.103,0.267,103.99,271000
Taylor Swift,Wonderland (Taylor's Version),2ve0kuaWUCt4Zx8x4bf1MR,0.387,0.703,-5.956,0.0105,1.1e-05,0.128,0.32,123.18,245567
Taylor Swift,You Are In Love (Taylor's Version),4UwqOWDpdeIDVQDuKT6iza,0.554,0.509,-9.403,0.572,2.08e-06,0.113,0.401,85.079,267389
Taylor Swift,New Romantics (Taylor's Version),2vPMoMDXxu9uX1igWZmXSG,0.653,0.848,-5.936,0.00516,4.24e-06,0.0798,0.724,122.017,230178
Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",71BqAINEnezjQfxE4VuJfq,0.621,0.415,-13.187,0.33,0.000112,0.0634,0.313,77.978,180381
Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),4NioO5R9sHEZh4cGzMHyNt,0.632,0.539,-8.375,0.0684,5.82e-06,0.132,0.186,109.962,279833
Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),5KD6AEm19QnMbfWpfoOHMl,0.8,0.509,-9.386,0.16,3.05e-05,0.0834,0.0768,109.994,146437
Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),6T0sEnqjmHISIKwFETeeiP,0.695,0.607,-8.84,0.212,0.0,0.102,0.394,118.043,171819
Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz,0.599,0.651,-7.343,0.0486,0.0,0.126,0.153,100.001,229478
Taylor Swift,Mine (Taylor's Version),7G0gBu6nLdhFDPRLc0HdDG,0.647,0.793,-2.903,0.00314,1.93e-06,0.174,0.5,121.101,231707
Taylor Swift,Sparks Fly (Taylor’s Version),3MytWN8L7shNYzGl4tAKRp,0.605,0.769,-2.413,0.0241,0.0,0.0936,0.366,114.921,261231
Taylor Swift,Back To December (Taylor's Version),79uDOz0zuuWS7HWxzMmTa2,0.486,0.635,-3.994,0.00705,0.0,0.119,0.235,141.868,294190
Taylor Swift,Speak Now (Taylor's Version),5xXqyjLicvEpch72qEryFT,0.734,0.686,-2.926,0.225,0.0,0.136,0.598,119.002,242473
Taylor Swift,Dear John (Taylor's Version),1zU8j1x3yi9xalMF96pzKp,0.379,0.468,-5.07,0.0327,0.0,0.158,0.115,119.447,405907
